Полученное решение: 

Node: (x: 0,00000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  0,00000000000000e+00
Node: (x: 7,50000000000000e-01,y: 0,00000000000000e+00, type:firstBoundary) , value:  5,62500000000000e-01
Node: (x: 1,50000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  2,25000000000000e+00
Node: (x: 2,25000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  5,06250000000000e+00
Node: (x: 3,00000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  9,00000000000000e+00
Node: (x: 3,75000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  1,40625000000000e+01
Node: (x: 4,50000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  2,02500000000000e+01
Node: (x: 5,25000000000000e+00,y: 0,00000000000000e+00, type:firstBoundary) , value:  2,75625000000000e+01
Node: (x: 6,00000000000000e+00,y: 0,00000000000000e+00, type:thirdBoundary) , value:  3,63214285714286e+01
Node: (x: 0,00000000000000e+00,y: 7,50000000000000e-01, type:firstBoundary) , value:  5,62500000000000e-01
Node: (x: 7,50000000000000e-01,y: 7,50000000000000e-01, type:normal)        , value:  1,12554681672229e+00
Node: (x: 1,50000000000000e+00,y: 7,50000000000000e-01, type:normal)        , value:  2,81400603687003e+00
Node: (x: 2,25000000000000e+00,y: 7,50000000000000e-01, type:normal)        , value:  5,62862604945960e+00
Node: (x: 3,00000000000000e+00,y: 7,50000000000000e-01, type:normal)        , value:  9,57114980552637e+00
Node: (x: 3,75000000000000e+00,y: 7,50000000000000e-01, type:normal)        , value:  1,46460259585955e+01
Node: (x: 4,50000000000000e+00,y: 7,50000000000000e-01, type:normal)        , value:  2,08654251369138e+01
Node: (x: 5,25000000000000e+00,y: 7,50000000000000e-01, type:normal)        , value:  2,82654669930814e+01
Node: (x: 6,00000000000000e+00,y: 7,50000000000000e-01, type:thirdBoundary) , value:  3,69641954246180e+01
Node: (x: 0,00000000000000e+00,y: 1,50000000000000e+00, type:firstBoundary) , value:  2,25000000000000e+00
Node: (x: 7,50000000000000e-01,y: 1,50000000000000e+00, type:normal)        , value:  2,81348881442542e+00
Node: (x: 1,50000000000000e+00,y: 1,50000000000000e+00, type:normal)        , value:  4,50269842703764e+00
Node: (x: 2,25000000000000e+00,y: 1,50000000000000e+00, type:normal)        , value:  7,31888800826303e+00
Node: (x: 3,00000000000000e+00,y: 1,50000000000000e+00, type:normal)        , value:  1,12648127296590e+01
Node: (x: 3,75000000000000e+00,y: 1,50000000000000e+00, type:normal)        , value:  1,63468559936516e+01
Node: (x: 4,50000000000000e+00,y: 1,50000000000000e+00, type:normal)        , value:  2,25799779854925e+01
Node: (x: 5,25000000000000e+00,y: 1,50000000000000e+00, type:normal)        , value:  2,99987600944022e+01
Node: (x: 6,00000000000000e+00,y: 1,50000000000000e+00, type:thirdBoundary) , value:  3,86778629110870e+01
Node: (x: 0,00000000000000e+00,y: 2,25000000000000e+00, type:firstBoundary) , value:  5,06250000000000e+00
Node: (x: 7,50000000000000e-01,y: 2,25000000000000e+00, type:normal)        , value:  5,62626622205610e+00
Node: (x: 1,50000000000000e+00,y: 2,25000000000000e+00, type:normal)        , value:  7,31592871380076e+00
Node: (x: 2,25000000000000e+00,y: 2,25000000000000e+00, type:normal)        , value:  1,01330080815438e+01
Node: (x: 3,00000000000000e+00,y: 2,25000000000000e+00, type:normal)        , value:  1,40806892716284e+01
Node: (x: 3,75000000000000e+00,y: 2,25000000000000e+00, type:normal)        , value:  1,91659325472886e+01
Node: (x: 4,50000000000000e+00,y: 2,25000000000000e+00, type:normal)        , value:  2,54038583338418e+01
Node: (x: 5,25000000000000e+00,y: 2,25000000000000e+00, type:normal)        , value:  3,28265037910493e+01
Node: (x: 6,00000000000000e+00,y: 2,25000000000000e+00, type:thirdBoundary) , value:  4,14990735948853e+01
Node: (x: 0,00000000000000e+00,y: 3,00000000000000e+00, type:firstBoundary) , value:  9,00000000000000e+00
Node: (x: 7,50000000000000e-01,y: 3,00000000000000e+00, type:normal)        , value:  9,56385960990480e+00
Node: (x: 1,50000000000000e+00,y: 3,00000000000000e+00, type:normal)        , value:  1,12536707760784e+01
Node: (x: 2,25000000000000e+00,y: 3,00000000000000e+00, type:normal)        , value:  1,40710308783516e+01
Node: (x: 3,00000000000000e+00,y: 3,00000000000000e+00, type:normal)        , value:  1,80192351933130e+01
Node: (x: 3,75000000000000e+00,y: 3,00000000000000e+00, type:normal)        , value:  2,31053511478824e+01
Node: (x: 4,50000000000000e+00,y: 3,00000000000000e+00, type:normal)        , value:  2,93444080743231e+01
Node: (x: 5,25000000000000e+00,y: 3,00000000000000e+00, type:normal)        , value:  3,67676690235329e+01
Node: (x: 6,00000000000000e+00,y: 3,00000000000000e+00, type:thirdBoundary) , value:  4,54386680134474e+01
Node: (x: 0,00000000000000e+00,y: 3,75000000000000e+00, type:firstBoundary) , value:  1,40625000000000e+01
Node: (x: 7,50000000000000e-01,y: 3,75000000000000e+00, type:normal)        , value:  1,46262662220561e+01
Node: (x: 1,50000000000000e+00,y: 3,75000000000000e+00, type:normal)        , value:  1,63159287138008e+01
Node: (x: 2,25000000000000e+00,y: 3,75000000000000e+00, type:normal)        , value:  1,91330080815438e+01
Node: (x: 3,00000000000000e+00,y: 3,75000000000000e+00, type:normal)        , value:  2,30806892716284e+01
Node: (x: 3,75000000000000e+00,y: 3,75000000000000e+00, type:normal)        , value:  2,81659325472886e+01
Node: (x: 4,50000000000000e+00,y: 3,75000000000000e+00, type:normal)        , value:  3,44038583338418e+01
Node: (x: 5,25000000000000e+00,y: 3,75000000000000e+00, type:normal)        , value:  4,18265037910493e+01
Node: (x: 6,00000000000000e+00,y: 3,75000000000000e+00, type:thirdBoundary) , value:  5,04990735948853e+01
Node: (x: 0,00000000000000e+00,y: 4,50000000000000e+00, type:firstBoundary) , value:  2,02500000000000e+01
Node: (x: 7,50000000000000e-01,y: 4,50000000000000e+00, type:normal)        , value:  2,08134888144254e+01
Node: (x: 1,50000000000000e+00,y: 4,50000000000000e+00, type:normal)        , value:  2,25026984270376e+01
Node: (x: 2,25000000000000e+00,y: 4,50000000000000e+00, type:normal)        , value:  2,53188880082630e+01
Node: (x: 3,00000000000000e+00,y: 4,50000000000000e+00, type:normal)        , value:  2,92648127296591e+01
Node: (x: 3,75000000000000e+00,y: 4,50000000000000e+00, type:normal)        , value:  3,43468559936516e+01
Node: (x: 4,50000000000000e+00,y: 4,50000000000000e+00, type:normal)        , value:  4,05799779854925e+01
Node: (x: 5,25000000000000e+00,y: 4,50000000000000e+00, type:normal)        , value:  4,79987600944022e+01
Node: (x: 6,00000000000000e+00,y: 4,50000000000000e+00, type:thirdBoundary) , value:  5,66778629110870e+01
Node: (x: 0,00000000000000e+00,y: 5,25000000000000e+00, type:firstBoundary) , value:  2,75625000000000e+01
Node: (x: 7,50000000000000e-01,y: 5,25000000000000e+00, type:normal)        , value:  2,81255468167223e+01
Node: (x: 1,50000000000000e+00,y: 5,25000000000000e+00, type:normal)        , value:  2,98140060368700e+01
Node: (x: 2,25000000000000e+00,y: 5,25000000000000e+00, type:normal)        , value:  3,26286260494596e+01
Node: (x: 3,00000000000000e+00,y: 5,25000000000000e+00, type:normal)        , value:  3,65711498055264e+01
Node: (x: 3,75000000000000e+00,y: 5,25000000000000e+00, type:normal)        , value:  4,16460259585955e+01
Node: (x: 4,50000000000000e+00,y: 5,25000000000000e+00, type:normal)        , value:  4,78654251369138e+01
Node: (x: 5,25000000000000e+00,y: 5,25000000000000e+00, type:normal)        , value:  5,52654669930814e+01
